moisture,protein,fat,ash,crude_fiber,total_carbohydrates,dietary_fiber,sugars,FRAP
9.4,9.33,5.195398941176471,1.44,4.256683176470588,58.7,17.214,9.704494118,27.81
10.1,6.65,3.7640224705882352,1.52,3.847745764705882,64.18,14.0244,12.798611764705882,13.32
11.39,12.369956,5.028300588235294,2.995018,1.7722,66.590415,12.157292,7.983335294117647,16.86
10.78,13.534674,3.2594788235294114,3.140544,2.739054,64.657734,12.588942,7.983335294117645,10.57
12.03,13.608959,3.9901494117647056,4.803162,2.973386,60.558548,14.066403,7.188247058823529,38.42
12.62,12.696314,3.964307647058824,2.656352,1.677696,66.251516,11.848728,7.633211764705883,26.39
10.8,11.5068,4.221641882352942,2.676,4.743886941,56.8204,12.3988,7.202752941,23.5
8.2,14.8,5.3,2.6,5.497376588235294,57.19200752941176,8.8,7.507623529411765,13.76
13.07,9.29,6.63,3.06,1.49,65.54893801960785,7.324353431372548,13.049788235294116,16.2
12.06,12.6,5.22,6.63,4.37,58.97597331372549,11.589421470588237,6.234582352941177,35.27
12.42,9.08,5.37,7.69,5.21,64.66202821568629,7.627073431372549,9.662652941,22.13
12.14,13.25,5.12,4.31,2.44,60.48420860784313,10.270205784313726,6.559458823529412,27.95
10.93,10.23,5.99,2.27,1.71,68.25952625490197,7.494661666666666,8.584164705882351,16.51
9.95,12.49,6.77,3.09,1.04,60.52599684313726,10.157499901960785,5.990047059,22.84
12.47,12.54,6,2.92,2.65,62.23658507843137,8.816589314,6.376517647058824,38.25
9,15.7,5.7,3.1,5.1262267058823525,58.56947423529412,10.3,6.961523529411765,22.79
10.13,13.18,4.197457647058823,2.34,4.23,63.6,12.477786960784314,6.278282352941176,27.65
11.51,13.48,4.2753258823529405,2.27,7.04,59.4,12.422956176470583,6.278282352941176,21.84
12.3,7.62113,2.12234,1.20149,4.473801647058824,74.30125882352942,0.6928300000000001,19.247411764705884,23.86
12.4,7.95408,2.31264,1.06872,4.299684,73.75307059,0.67452,16.300623529411766,19.21
11.2,7.29048,0.5150399999999999,0.8347199999999999,4.630748705882353,73.75307059,0.3463199999999999,16.511317647058824,18.57
11.6,7.717320000000002,0.54808,0.74256,4.473801647058824,73.75307058823529,0.34476,16.511317647058824,20.95
11.18,6.252928,2.08727,1.190188,0.781616,72.94409255,4.583068431372548,19.315647058823533,16.65
11.08,6.962436,2.054052,1.164852,0.764712,72.15627049019609,4.583068431372548,16.57955294117647,20.23
11,8.3,1.04,0.8,3.9353014117647054,72.91269314,6.6,14.180135294117648,24.85
11.5,8.5,0.82,0.8,3.9353014117647054,71.66975196078431,6.8,13.523352941176473,35.13
13.1,8.27288,2.15512,1.23398,0.45188,71.32105084313726,6.094469607843137,19.73349411764706,25.24
13,6.9339,2.262,1.3398,0.3741,71.70518319607844,4.799997843137255,19.32415294117647,23.28
13.6,6.868800000000001,1.77984,1.09728,0.45792,71.21987437254903,4.767640666666667,22.49792941176471,5.2
8.44,7.38,2.41,1.33,2.728854588235294,79.62,0.83,14.205523529411764,22.28
9.39,8.21,2.42,1.43,2.728854588235294,77.52,1.05,14.205523529411764,14.2
9.05,6.87,2.46,1.23,2.7288545882352944,79.46,0.94,14.180135294117648,12.44
7.77,6.73,2.7,1.21,2.7288545882352944,80.53,1.06,14.597376470588234,6.56
7.79,7.1,2.42,1.32,2.728854588235294,80.44,0.94,14.597376470588236,21.54
8.66,6.97,2.35,1.3,2.728854588235294,79.73,0.98,14.205523529411764,14.57
9.51,12,1.09,1.11,3.2466545882352937,75.04,1.24,8.751341176470588,12.29
9.62,13.48,1.06,1.36,4.6548407058823535,72.61,1.87,8.404599999999999,18.27
9.43,15.15,1.23,1.45,5.687801294117647,71.16,1.58,8.400576470588234,38.7
9.34,12.57,0.94,1.3,3.4437134117647057,73.92,1.93,8.4046,26.46
9.64,12.96,1.02,1.27,3.884588705882353,73.25,1.86,8.4046,24.78
9.12,13.03,0.94,1.47,4.197124,74.29,1.15,8.400576470588234,14.35
9.24,13.24,0.72,1.31,4.589381882352942,74.25,1.24,8.741435294117647,21.22
12.36666666666666,9.46,4.063634235294117,1.906666666666667,2.6819155294117643,62.81333333333333,11.30333333333333,13.089858823529411,19.42
40.5,16.5,9.2,2.7,6.5,24.6,12.006748098039216,39.80470588235294,36.71
72.5,6.4,2.9,1.3,3.3,13.6,5.1651058823529405,15.413570588235295,12.11
7.3,28.27,26.8,4.58,6.2,26.85,14.848423529411765,3.364705882352941,42.69
12.76,28.257036,2.608476,3.123192,7.424123999999999,50.736447058823536,14.918053607843136,5.832595882352941,34.82
11.09,26.086194,1.493688,3.503054,7.948554000000001,49.693085352941175,13.487942823529412,5.142595882352942,47.03
10.57000000000001,23.681064,1.958517,3.630858,4.310525999999999,53.54262941176471,14.123036019607843,7.890978235294117,32.99
11.27000000000001,22.528547,2.830487,2.732884,4.312278,54.73260194117647,14.092688882352942,8.643927882,18.69
10.5,24.6125,2.67605,2.80135,5.1373,51.679172411764704,13.487942823529412,5.174854705882352,35.29
11.75,21.4271,2.762224999999999,2.691625,2.762224999999999,55.93159917647059,15.873568999999998,7.662769059,27.35
11.42999999999999,19.122263,3.967936,4.295645,4.109648,58.21695470588235,19.192992921568628,5.881788235294118,38.2
9.679999999999993,27.3218,2.854112,3.152168,3.766344,54.014221176470585,13.226034,5.375305882352941,23.43
9.94,20.902926,6.25917,4.692126,7.096728000000001,49.271826,17.842844352941178,3.764705882352941,30.35
6.7,18.8466,5.8779,3.3588,5.167376588235294,57.0996,17.744207826634614,4.342094117647058,24.68
8.5,26.8095,5.856,3.843,5.861742705882353,45.6585,16.02279335294118,4.631184117647059,43.83
7.9,24.7749,6.8154,3.039299999999999,6.893470470588235,47.7999,16.29028405882353,2.9842176470588235,33.04
7.1,24.8043,6.8746,5.109500000000001,6.920723411764706,46.5429,16.547532411764703,3.0077470588235293,29.6
8.97,21.28,0.87,3.42,3.72,61.74,19.05542039627666,8.564170588235292,31.48
8.58,20.24,0.95,3.76,3.03,63.44,19.168088361685765,8.109605882352941,24.58
8.47,19.6,0.96,3.74,4.09,63.14,19.626911891097528,7.192264705882354,28.03
7.5,8.75,11.5,2.2,4.061902117647058,67.2,12.152896960784313,8.583647059,14.82
7.4,26.5,9.6,2,5.870944882352941,46.9,17.546312823529412,2.7724529411764705,29.95
7.6,10,13,2.3,4.694843294117647,64.4,16.11952343137255,4.812241176470588,27.04
9.6,24.6,7.2,2,5.967550647058823,46.2,16.96892605882353,2.8986705882352943,35.18
5.44,20.216928,1.059072,3.820224,5.941865647058823,60.69089747058824,17.0318932,7.847688235294119,30.73
1.67,16.952092,1.071797,4.670675,5.4691261176470585,55.475068823529405,23.20313618441008,5.789441176470588,19.89
4.02,22.12339,0.950202,3.781612,4.232322352941176,54.57939223529412,13.17410564589435,5.241423529411765,37.59
2.19,17.097188,0.909633,4.372107,5.589590823529412,58.27577841176471,16.96149994953064,5.890029411764706,44.85
5.54,21.82026,1.03906,3.806738,5.438628235294117,59.84550835294117,17.17280889787664,6.060235294117646,30.88
5.64,21.495208,0.688828,4.491536,5.523557647058824,60.1291,16.48234511937141,7.205923529411765,24.21
5.36,20.77348,0.766584,4.30612,6.376149529411765,57.04963252941177,13.69174311926606,7.422999999999999,30.78
5.31,21.267374,0.909024,4.412554,5.363996588235294,60.040626,17.51535541195476,7.2471,34.81
6.77,19.531685,0.978915,4.074151000000001,4.208122,62.28931735294117,16.41300252652855,8.252982352941176,14.9
2.22,18.13819,0.8800200000000001,4.25343,5.777678941,55.24889070588236,22.09176791120081,6.237458823529412,19.73
2.57,22.155582,1.149674,3.721826000000001,3.561734117647059,56.16045294117647,18.92993321190042,4.224370588235296,39.27
2.53,20.712375,1.120905,3.947535,4.355851764705882,55.45162941176471,22.40281638846737,6.082417647058824,43.44
7.94,20.326848,0.708862,4.133494,4.122880823529412,62.12709970588236,17.14470220699385,8.305923529411768,18.64
2.4,22.36016,1.00528,4.518879999999999,3.589687058823529,56.020582352941176,20.6501364,4.768452941,21.55
9.6,23,1.9,2.1,4.744478764705882,47.6,13.7,2.7,33.64
8.9,19.9,6.7,2.6,7.262585823529412,46.1,13.5,3.3,38.37
8.3,19.7,5.5,2.6,6.774184176470588,41.4,20.8,2.2,27.17
11.8,25.3,1.7,2.3,5.539179470588235,42.1,14.6,1.5,31.55
10.3,24.5,2,3.5,5.141254999999999,43.2,13.7,2.1,23.2
9.4,25.61,2.149718235294117,2.14,4.061534941176471,53.61322411764706,17.7,1.5,38.12
9.47,23.94,2.371405294117647,2.04,3.842013529411764,55.26680294117647,15.6,1.5,18.04
8.89,25.38,2.5758611764705885,2.29,4.098888823529412,53.71814764705882,18,1.5,18.92
9.08,25.18,2.3722511764705883,2.01,4.011044117647059,54.64514176470589,16.8,1.4,24.37
9.05,25.29,2.372251176470588,1.76,4.086371176470588,54.64514176470588,16.9,1.2,19.21
8.99,25.09,2.5758611764705885,2.21,4.011044117647058,54.96220059,21,1.4,26.48
9.53,18.44,2.919339823529412,2.26,4.731412529411764,59.76530447058824,26,2.9,14.05
10.36,18.66,3.327475352941176,1.8,5.527161235294118,58.11859811764706,20.4,2.2,24.37
6.68,20.79,2.9070094705882354,1.46,4.279484117647058,59.25765459,21.5,1.7,25.1
7.61,21.54,3.0689269411764704,1.17,4.499988823529412,56.74072647058824,12.6,2.8,9.73
10.379803921568628,22.0158,0.93318,3.18006,7.00338,57.4404,20.192819325180253,7.664543117647059,21.23
9.2,18.16,1.19856,2.91468,3.8136,64.7404,19.810933682364062,7.096788235294119,33.52
9.7,19.9563,1.10166,2.95281,4.6956,61.5846,20.91193127844249,7.298735294117647,22.48
8.7,20.8164,1.19603,2.54727,3.8346,62.9057,19.45002374220218,7.312123529411765,19.38
8.7,17.4383,1.13212,2.84856,4.1998,65.6447,18.088055865850297,6.935670588235294,19.19
8.3,20.9993,1.12791,2.82436,4.9518,61.8058,18.88573542050929,7.312123529411766,17.6
9.7,18.7824,1.36353,3.295949999999999,3.7023,63.1197,21.15655314,7.096788235294119,23.15
8.8,16.3248,1.05792,3.07344,4.0128,66.8496,16.493601564717004,6.849200000000001,20.46
8.9,20.6797,1.23896,3.05185,4.2817,61.8569,19.33777333745313,8.752676470588236,28.96
8,18.032,1.3616,3.7536,4.784000000000001,64.12400000000001,19.47520689109753,6.936223529411765,25.91
9.5,19.0955,1.4842,2.61545,4.0725,63.25950000000001,20.185852847069945,7.360282352941176,23.85
7.88,20.78,1.54,4.06,1.48,64.26,18.743035752620724,7.395923529411766,21.93
8.92,22.34,2.08,4.23,1.88,60.55,18.818845134234778,8.272537882352943,26.11
7.81,27.22,1.36,4,1.42,58.19,16.265936546005353,6.233047058823529,32.58
9.94,21.66,0.63,4.09,1.39,62.29,21.08083863138367,8.846949647058823,31.56
9.39,23.83,1.5,3.85,1.29,60.14,18.592353542602467,6.925417647058824,25.35
9.328823529411764,28.0462,1.876,3.6582,3.4706,56.749,16.290028564184006,6.338835294117648,40.12
15.068823529411766,30.2203,1.4608,2.0999,3.0129,54.5061,13.664443,6.338835294117647,34.02
9.422352941176472,24.881,1.7005,2.7745,3.222,57.01150000000001,17.590309107196358,6.118182352941177,20.78
9.435294117647056,28.0275,2.035,2.8675,3.2375,56.3325,16.290028564184006,6.163541176470589,32.67
9.450588235,23.3748,1.5402,2.9898,2.718,59.9772,18.62696635413711,9.327249647058824,31.5
9.614705882352942,25.665,1.8585,2.7435,1.77,56.463,16.86881655817675,6.181123529411765,39.82
10.409411764705885,23.706,1.756,3.1608,3.424199999999999,55.8408,17.578439460137535,7.837658823529413,33.32
9.300392156862744,22.9941,1.762,2.9954,2.5549,57.79359999999999,18.979587501650844,9.299184941176472,32.18
9.41,25.3851,1.794,3.8571,1.8837,57.0492,17.999185290688793,6.118182352941176,28.74
9.438627450980391,23.161,2.0976,2.622,1.4858,57.9462,18.39859311182115,8.959773176,20.01
10.060588235294118,24.9606,1.323,3.969,3.1752,54.77220000000001,16.144546734647335,6.118182352941177,33.13
10.148823529411764,25.6082,1.4858,4.2826,2.7968,53.2266,15.586097408543164,6.118182352941176,29.54
9.184705882,26.2735,1.2155,3.8335,3.2725,58.99850000000001,17.999185290688793,6.260717647058823,32.88
11.091176470588236,27.4122,1.3095,4.6269,2.9682,51.0705,13.739193788235292,6.687776470588236,37.82
9.549215686274508,23.6016,1.6986,4.6488,2.7714,56.76900000000001,18.307114560474368,7.893637882352941,43.08
10.297647058823529,23.8656,1.8984,3.2544,2.8928,58.48880000000001,17.999185290688793,7.387694117647059,31.84
9.566470588235294,24.728,1.672,3.256,2.992,55.528,16.86881655817675,6.118182352941176,41.31
9.52,24.66,1.8,3.15,2.7,57.15,17.999185290688793,6.118182352941177,44.54
9.411372549019609,22.1154,1.6182,3.9556,2.4273,59.6936,20.11234245459202,7.870025470588236,11.86
10.338235294117649,23.9766,1.706199999999999,3.6818,3.5022,57.023,18.45480949139201,7.274988235294118,34.04
7.99,18.254784,3.183546,3.109938,1.858602,56.383728,17.501632349030732,6.898547058823531,23.48
9.1,20.11617,3.42693,3.29058,1.20897,53.37648,16.46349177688199,7.244935294117647,34.73
7.83,20.839637,4.129216,3.760536,2.230514,52.195871,14.810205690207198,6.181670588235295,21.01
6.8,22.25616,4.1474,4.15672,2.02244,52.27588000000001,13.871918201717811,4.991623529411764,16.38
8.6,24.32154,3.64686,3.50976,1.26132,50.13290000000001,14.840377588235294,5.891105882352941,27.11
10.65,19.58,2.754415647058824,3.93,5.4143410588235295,58.72137941176471,22.8,2.9,30.16
10.75,20.73,3.016922941,3.55,5.1959647058823535,58.62665411764706,21.1,3.5,31.54
7.36,21.52,3.1491062352941177,4.34,4.352660823529412,59.03766770588236,21.6,3.2,43.61
11.39,18.07,2.505346823529412,3.85,6.105939529411764,59.517405764705885,18.6,3.3,33.81
9.54,20.87,2.5843317647058823,3.9,4.562911647058823,59.42507917647058,22.6,2.7,40.09
10.86,18.75,2.9023233529411767,3.9,5.551008176470588,59.16070576470588,20.4,2.5,29.71
12.01,20.1,2.9197660588235297,3.93,5.180282352941177,59.31805158823529,17.5,2.2,46.08
13.39,21,1.8714329411764703,3.99,6.45,53.97,18.42534478431373,7.690758176470588,36.92
6.54,21.40234,3.299138,2.644918,4.177662,61.935942,18.29168857,6.858864705882353,28.76
10.11,22.005072,1.420262,2.831535,3.200084,60.43304700000001,19.7671326,8.354208470588235,20.97
10.86,26.180418,0.374388,2.103704,4.636048,54.42160352941177,9.769744,7.804654705882352,22.39
11.75,23.465675,0.661875,2.038575,3.9635464117647055,54.595251764705885,8.551425,9.565031176470589,28.25
13.2,24.6,1.81,3.44,4.95,52.41652947058824,14.433275431372548,7.7,30.38
10.95,20.07,1.96,3.59,4.27,58.33685141176471,17.454038705882354,6.47,26.27
11.07,22.66,1.86,3.62,4.6,53.83925305882353,15.00078794117647,7.69,30.12
13,23.04,1.77,3.65,4.34,54.523097,15.03927901960784,8.24,29.6
7.81,23.36,2.92,2.15,3.2,60.6,17.17001605620369,5.264382352941176,16.54
8.4,23.88,3.14,4.27,3.72,56.92,17.20550627271745,5.549288235294118,20.52
8.44,23.82,2.3,4.89,3.24,56.94,16.531574985615457,6.510864705882353,29.39
8.95,22.64,6.44,2.6220299411764705,3.22,40.5,19.094117647058823,3.270317647058824,19.49
11.07,26.35,3.23,4.72,4.03,51.06,14.432666431372548,6.425676470588236,30.47
9.36,25.19,3.17,3.81,3.61,53.6,14.65190214,6.156617647058824,27.57
14.54,32.58,4.2,11.6,7.4,26.7,19.144805843137256,8.494131999999999,37.05
8.35,23.36,5.07,3.62,2.12628,53.60597947058824,16.139450941176474,3.44,29.3
10.67,19.974188,1.849131,2.536972,3.367741,61.601968,21.994807894529053,7.987147058823529,10.34
11.67,21.958838,1.625272,4.027848,3.453703,57.264339,20.43057354901961,8.020973647058824,23.67
10.2,25.25176,1.19434,3.85242,2.77482,56.72666,17.736133306293752,6.618988235294118,28.71
8.11,19.866618,2.232927,2.701566,4.282074,62.806815,19.122265714626938,7.094382352941175,17.95
9.6,22.20224,1.37408,4.07704,3.977600000000001,58.76904,19.22547322063356,8.465220235294119,33.4
10,22.689,1.413,3.816,4.392,57.68999999999999,19.190167541587872,8.537067294117648,33.37
9,22.3587,1.365,3.913,3.822,59.54130000000001,19.00168377427796,8.465220235294119,41.12
9,20.9482,1.1557,3.7401,3.9403,61.2157,19.167185102159014,8.272358823529412,31.73
11.5,19.3107,2.0355,4.0356,4.64625,58.47195,21.99480789452905,6.8610235294117645,30.06
11,21.7605,1.335,4.0495,4.9395,56.9155,20.154771718058463,7.982890823529412,38.08
10,23.796,0.8909999999999999,3.915,5.688000000000001,55.71,17.73613330629376,7.934302588235295,27.09
10.4,20.8768,1.73824,3.75424,5.151999999999999,58.07872,21.491838482764344,8.679984941176471,33.81
10,20.277,1.485,3.816,5.571000000000001,58.85100000000001,21.95428421961897,8.257252941176473,25.3
10,20.277,1.107,3.825,4.221,60.57,21.95428421961897,8.210194117647058,30.41
9,18.7551,1.8291,3.6218,4.9049,61.88910000000001,19.95333933643853,6.905864705882353,32.2
9,20.3476,1.2012,3.276,5.096,61.0792,19.56178844808453,8.572276470588235,18.02
9.6,19.3456,1.4464,4.18552,5.469200000000001,59.95327999999999,21.15655314118759,6.781511764705883,22.03
12,25.3176,1.1968,3.6168,5.579199999999999,52.2896,14.858212549019608,7.129573176470588,26.42
12.6,19.228,0.8740000000000001,3.4086,5.242880294117647,57.193781058823525,18.34865929411765,6.9046,13.91
9.5,19.6385,1.448,3.801,4.919335294117647,60.55412752941177,15.930766435305244,6.516,35.13
10.2,21.4622,1.1674,2.3348,4.591412058823529,58.19009459,14.155226129823166,11.9434,22.59
11.5,12.4785,0.9735,3.717,4.883342117647058,67.33891449019609,6.876323431372548,12.8325,24.8
13.3,16.473,1.2138,3.7281,4.651632294117647,61.48584164705882,14.948063392156865,12.2247,25.54
12.1,20.9202,1.2306,1.8459,4.847757941176471,56.22649570588235,17.372542607843137,6.328800000000001,28.38
11.1,28.9814,0.889,3.733800000000001,4.648243176470588,53.58916235294118,13.603489078431371,8.0899,26.77
9.9,23.6963,1.4416,1.802,3.8114964705882346,57.38034941176471,13.266194064992382,20.5428,27.6
10.7,18.0386,1.1609,1.6967,5.285662647058824,60.94087705882352,15.105739964717005,12.5913,24.96
10.1,19.1487,1.1687,3.596,5.005075941176471,60.02916529411765,15.225700631383672,18.0699,24.98
12,19.536,1.056,2.816,5.115462647058823,57.429652823529416,17.497175960784315,6.864,27.7
12.4,19.0092,0.9636,3.4164,5.749374411764706,57.74782147058824,18.131386666666664,5.1684,39.99
10.3,21.1692,0.9867,3.588,4.817574352941176,57.67393617647059,15.690916247470229,5.830500000000001,34.11
12.6,19.3154,0.9614,3.496,5.242880294117647,57.19378105882353,18.34865929411765,7.166799999999999,34.63
7.7,25.4748,1.4768,4.5227,3.3065705882352945,54.84016252941177,11.698834592652773,7.2917,36.52
10.3,17.4018,4.7541,1.0764,4.972061764705882,53.49080752941177,13.53845968627451,13.2756,22.12
10.8,21.2296,0.9812,3.6572,4.804974529411765,57.32112670588237,15.727782294117649,7.046800000000001,18.29
10.3,21.7074,0.897,3.4983,4.762339058823529,56.92192405882353,14.773390423940814,9.1494,32.37
12.4,21.1116,0.7884,3.8544,4.724873941,56.34824094117647,17.405257607843136,6.7452,25.19
11.3,21.3767,1.4192,3.548,4.446034823529412,56.23903476470588,14.230243647058826,18.0948,27.83
11.3,21.9089,1.774,3.902800000000001,4.362445294117648,56.557050647058816,14.886899019607844,13.2163,31.64
8.8,25.1712,0.912,4.2864,3.596289411764706,55.49976017647059,13.034754817522156,5.654400000000001,34.84
14.8,22.7484,0.9372,3.9192,3.734223823529412,54.43633547058823,15.619783431372545,9.372,30.16
9.3,22.2215,1.995400000000001,1.7233,3.926368470588236,58.94643147058824,13.433104653227677,11.0654,37.96
13.6,19.2672,1.2096,3.3696,4.6659541764705885,57.186157529411766,15.605702294117648,12.2688,38.36
